"Russian: ??????????? ??????????? ?????????
(Russian Federal Space Agency(Roscosmos))","ROSCOSMOS
RFSA",, Russia,,ca. 1992,,, —,,Yes,,Yes,,,Yes,,Yes,,[citation needed],
"Russian: ????????? ??????????? ?????????
(Soviet space program)",????,, Soviet Union,,ca. 1955,,,ca. 1991,,Yes,,Yes,,,Yes,,Yes,,[citation needed],
List of space agencies with manned spaceflight capability[edit],,,,,,,,,,,,,,,,,,,,
Space agency,,Country,,Founded,,,Terminated,,Accomplished tasks by the Space Agency,,,,,,,,,,Ref(s),
Name,Acronym,,,,,,,,,Manned Spaceflight capable,,Manned Space launch capable,,Spacewalk capable,,,Space Rendezvous and Docking capable,,Operates Space Station,
"China National Space Administration
(Chinese: ????????????)",CNSA,, People's Republic of China,,04/22/93,,, —,,Yes,,Yes,,,Yes,,Yes,,Yes,[14][57]
National Aeronautics and Space Administration,NASA,, United States,,10/01/58,,, —,,Yes,,No (since 2011),,,Yes,,Yes,,Yes,[38]
"Russian: ??????????? ??????????? ?????????
(Russian Federal Space Agency)","ROSCOSMOS
RFSA",, Russia,,ca. 1992,,, —,,Yes,,Yes,,,Yes,,Yes,,Yes,[58]
"Russian: ????????? ??????????? ?????????
(Soviet space program)",????,, Soviet Union,,ca. 1955,,,ca. 1991,,Yes,,Yes,,,Yes,,Yes,,Yes,[58]
List of achievements of space agencies with lunar landing capability[edit],,,,,,,,,,,,,,,,,,,,
Space agency,,Country,,Founded,,,Terminated,,Accomplished tasks by the Space Agency,,,,,,,,,,Ref(s),
Name,Acronym,,,,,,,,,Circumlunar Manned Spaceflight,,Unmanned Moon Soft Landing,,Unmanned (automated) lunar rover operation,,,Automated Lunar sample return mission,,Manned Moon Landing and sample return,
"China National Space Administration
(Chinese: ????????????)",CNSA,, People's Republic of China,,04/22/93,,, —,,No,,Yes,,,Yes,,No,,No,
National Aeronautics and Space Administration,NASA,, United States,,10/01/58,,, —,,Yes,,Yes,,,No[59],,No[60],,Yes,[38]
"Russian: ????????? ??????????? ?????????
(Soviet space program)",????,, Soviet Union,,ca. 1955,,,ca. 1991,,No,,Yes,,,Yes[61],,Yes[62][63],,No,[64]
Expected future space agencies[edit],,,,,,,,,,,,,,,,,,,,
Space agency,,,,,,Country,,,,Possible expected date of foundation,,,,Current status,,,,Ref(s),,
Name,,Acronym,,,,,,,,,,,,,,,,,,
Pan-Arab Space Agency,,PASA,,,,,  Arab League,,,,—,,,,,At proposal stage,,[65],,
African Space Agency,,AfriSpace,,,,,African Union,,,,—,,,,,At proposal stage,,[66][67][68][69],,
Philippine Space Agency,,PSA,,,,, Philippines,,,,,,,,,At proposal stage,,[70],,
Sri Lanka Aeronautics and Space Agency,,SLASA,,,,, Sri Lanka,,,,,,,,,Immediate goal is to construct and launch two satellites. Sri Lankan Telecommunications Regulatory Commission has signed an agreement with Surrey Satellite Technology Ltd to get relevant help and resources.,,[71][72],,
