LAUNCHES AND ORBITAL FLIGHTS,,,,,,,,,,,,
91,06/02/98,"STS-91
 ",Discovery,06/07/14,09d 19h,Mir,Kennedy,Last Shuttle-Mir docking,[216][217],,,
92,10/29/98,"STS-95
 ",Discovery,7,08d 21h,,Kennedy,SPACEHAB; John Glenn flies again,[218][219],,,
93,12/04/98,"STS-88
 ",Endeavour,6,11d 19h,ISS,Kennedy,ISS assembly flight 2A: Node 1. First Shuttle ISS assembly flight,[220][221],,,
94,05/27/99,"STS-96
 ",Discovery,7,09d 19h,ISS,Kennedy,ISS supply,[222][223],,,
95,07/23/99,"STS-93
 ",Columbia,5,04d 22h,,Kennedy,Chandra X-ray Observatory deployed,[224][225],,,
96,12/19/99,"STS-103
 ",Discovery,7,07d 23h,HST,Kennedy,Hubble Space Telescope servicing,[226][227],,,
97,02/11/00,"STS-99
 ",Endeavour,6,11d 05h,,Kennedy,Shuttle Radar Topography Mission,[228][229],,,
98,05/19/00,"STS-101
 ",Atlantis,7,09d 21h,ISS,Kennedy,ISS supply,[230][231],,,
99,09/08/00,"STS-106
 ",Atlantis,7,11d 19h,ISS,Kennedy,ISS supply,[232][233],,,
100,10/11/00,"STS-92
 ",Discovery,7,12d 21h,ISS,Edwards,ISS assembly flight 3A: Z1 truss,[234][235],,,
101,11/30/00,"STS-97
 ",Endeavour,5,10d 19h,ISS,Kennedy,"ISS assembly flight 4A: P6 solar arrays, radiators",[236][237],,,
102,02/07/01,"STS-98
 ",Atlantis,5,12d 21h,ISS,Edwards,ISS assembly flight 5A: Destiny lab,[238][239],,,
103,03/08/01,"STS-102
 ",Discovery,07/07/14,12d 19h,ISS,Kennedy,"ISS supply, crew rotation",[240][241],,,
104,04/19/01,"STS-100
 ",Endeavour,7,11d 21h,ISS,Edwards,ISS assembly flight 6A: robotic arm; First spacewalk by a Canadian Chris Hadfield,[242][243],,,
105,07/12/01,"STS-104
 ",Atlantis,5,12d 18h,ISS,Kennedy,ISS assembly flight 7A: Quest Joint Airlock,[244][245],,,
106,08/10/01,"STS-105
 ",Discovery,07/07/14,11d 21h,ISS,Kennedy,"ISS supply, crew rotation",[246][247],,,
107,12/05/01,"STS-108
 ",Endeavour,07/07/14,11d 19h,ISS,Kennedy,"ISS supply, crew rotation",[248][249],,,
108,03/01/02,"STS-109
 ",Columbia,7,10d 22h,HST,Kennedy,"Hubble Space Telescope servicing, last successful mission for Columbia beforeSTS-107",[250][251],,,
109,04/08/02,"STS-110
 ",Atlantis,7,10d 19h,ISS,Kennedy,ISS assembly flight 8A: S0 truss,[252][253],,,
110,06/05/02,"STS-111
 ",Endeavour,07/07/14,13d 20h,ISS,Edwards,"ISS supply, crew rotation, Mobile Base System",[254][255],,,
111,10/07/02,"STS-112
 ",Atlantis,6,10d 19h,ISS,Kennedy,ISS assembly flight 9A: S1 truss,[256][257],,,
112,11/23/02,"STS-113
 ",Endeavour,07/07/14,13d 18h,ISS,Kennedy,"ISS assembly flight 11A: P1 truss, crew rotation, last successful mission beforeSTS-107",[258][259],,,
113,01/16/03,"STS-107
 ",Columbia,7,15d 22h,,N/A (Ken.),SPACEHAB; Loss of vehicle and crew before landing at KSC,[260][261],,,
114,07/26/05,"STS-114
 ",Discovery,7,13d 21h,ISS,Edwards,"First post Columbia flight. Flight safety evaluation/testing, ISS supply/repair, MPLMRaffaello",[262][263],,,
115,07/04/06,"STS-121
 ",Discovery,07/06/14,12d 18h,ISS,Kennedy,"ISS Flight ULF1.1: Supply, crew rotation, MPLM Leonardo",[264][265],,,
116,09/09/06,"STS-115
 ",Atlantis,6,11d 19h,ISS,Kennedy,"ISS assembly flight 12A: P3/P4 Truss, Solar Arrays",[266][267],,,
117,12/09/06,"STS-116
 ",Discovery,07/07/14,12d 21h,ISS,Kennedy,"ISS assembly flight 12A.1: P5 Truss & Spacehab-SM, crew rotation",[268][269],,,
118,06/08/07,"STS-117
 ",Atlantis,07/07/14,13d 20h,ISS,Edwards,"ISS assembly flight 13A: S3/S4 Truss, Solar Arrays, crew rotation",[270][271],,,
119,08/08/07,"STS-118
 ",Endeavour,7,12d 18h,ISS,Kennedy,ISS assembly flight 13A.1: S5 Truss & Spacehab-SM & ESP3. First use of SSPTS(Station-to-Shuttle Power Transfer System),[272][273],,,
120,10/23/07,"STS-120
 ",Discovery,07/07/14,15d 02h,ISS,Kennedy,"ISS assembly flight 10A: US Harmony module, crew rotation",[274][275],,,
121,02/07/08,"STS-122
 ",Atlantis,07/07/14,12d 18h,ISS,Kennedy,"ISS assembly flight 1E: European Laboratory Columbus, crew rotation",[276][277],,,
122,03/11/08,"STS-123
 ",Endeavour,07/07/14,15d 18h,ISS,Kennedy,"ISS assembly flight 1J/A: JEM ELM PS & SPDM, crew rotation",[278][279],,,
123,05/31/08,"STS-124
 ",Discovery,07/07/14,13d 18h,ISS,Kennedy,ISS assembly flight 1J: JEM - Japanese module Kibo & JEM RMS,[280][281],,,
124,11/14/08,"STS-126
 ",Endeavour,07/07/14,15d 20h,ISS,Edwards,"ISS assembly flight ULF2: MPLM Leonardo, crew rotation",[282][283],,,
125,03/15/09,"STS-119
 ",Discovery,07/07/14,12d 19h,ISS,Kennedy,"ISS assembly flight 15A: S6 Truss, Solar Arrays",[284][285],,,
126,05/11/09,"STS-125
 ",Atlantis,7,12d 21h,HST,Edwards,Last Hubble Space Telescope servicing mission (HST SM-04). Final Non-ISS flight.,[286][287][288],,,
127,07/15/09,"STS-127
 ",Endeavour,07/07/14,15d 16h,ISS,Kennedy,ISS assembly flight 2J/A: JEM Exposed Facility (EF) & JEM ELM ES.,[289][290],,,
128,08/28/09,"STS-128
 ",Discovery,07/07/14,13d 21h,ISS,Edwards,ISS assembly flight 17A: MPLM Leonardo & 6 person ISS crew.,[291][292],,,
129,11/16/09,"STS-129
 ",Atlantis,06/07/14,10d 19h,ISS,Kennedy,ISS assembly flight ULF3: ExPRESS Logistics Carriers (ELCs) 1 & 2.,[293][294],,,
130,02/08/10,"STS-130
 ",Endeavour,6,13d 18h,ISS,Kennedy,ISS assembly flight 20A: Node 3 and Cupola,[295][296],,,
131,04/05/10,"STS-131
 ",Discovery,7,15d 03h,ISS,Kennedy,ISS assembly flight 19A: Utility and Logistics Flight 4: Multi-Purpose Logistics Module Leonardo. Last night launch of the Shuttle Program,[297][298],,,
132,05/14/10,"STS-132
 ",Atlantis,6,11d 18h,ISS,Kennedy,ISS assembly flight ULF4: Mini-Research Module 1.,[299][300],,,
133,02/24/11,"STS-133
 ",Discovery,6,12d 19h,ISS,Kennedy,"ISS assembly flight ULF5, PMM Leonardo (to be left permanently attached), ELC 4. Final flight of Discovery.",[301][302],,,
134,05/16/11,"STS-134
 ",Endeavour,6,15d 18h,ISS,Kennedy,"ISS assembly flight ULF6, ELC 3, ROEU, Alpha Magnetic Spectrometer. Final flight of Endeavour.",[303][304],,,
135,07/08/11,"STS-135
 ",Atlantis,4,12d 18h,ISS,Kennedy,"Payload Multi-Purpose Logistics Module (MPLM) Raffaello. Final flight of Atlantis, final flight of the Space Shuttle program.",[305][306][307],,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TEST FLIGHTS,,,,,,,,,,,,
