,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED)
Two Wide-angle Imaging Neutral-atom Spectrometers (TWINS),
Uhuru,
Wilkinson Microwave Anisotropy Probe (WMAP),
,
,
LUNAR MISSIONS,
Program,Sub-program (related to row above in column A)
Clementine,
Gravity Recovery and Interior Laboratory (GRAIL) [16],
-Lunar Orbiter program,
,Lunar Orbiter 1
,Lunar Orbiter 2
,Lunar Orbiter 3
,Lunar Orbiter 4
,Lunar Orbiter 5
- Lunar Precursor Robotic Program (LPRP),
,Lunar Crater Observation and Sensing Satellite (LCROSS)
,Lunar Reconnaissance Orbiter (LRO)
Lunar Prospector,
Moon Mineralogy Mapper (M3) – instrument for ISRO's Chandraayan-1,
-Pioneer program,
,Pioneer 0
,Pioneer 1
,Pioneer 2
,Pioneer P-1
,Pioneer P-3
,Pioneer P-30
,Pioneer P-31
,Pioneer 3
,Pioneer 4
- Ranger program,
,Ranger 1
,Ranger 2
,Ranger 3
,Ranger 4
,Ranger 5
,Ranger 6
,Ranger 7
,Ranger 8
,Ranger 9
- Surveyor program,
,Surveyor 1
,Surveyor 2
,Surveyor 3
,Surveyor 4
,Surveyor 5
,Surveyor 6
,Surveyor 7
,
MARTIAN MISSIONS,
Program,Sub-program (related to row above in column A)
 Mariner program,
,Mariner 4
,Mariner 6 and 7
,Mariner 8
,Mariner 9
 Mars Exploration Rovers,
,Spirit rover
,Opportunity rover
Mars Global Surveyor,
Mars Odyssey,
- Mars Pathfinder,
,Sojourner rover
 Mars Polar Lander,
,Deep Space 2 (DS2) – (sub-surface probes)
Mars Reconnaissance Orbiter,
- Mars Science Laboratory (MSL),
,Curiosity rover
- Mars Scout program,
,Mars Atmosphere and Volatile EvolutioN (MAVEN)
,Phoenix
- Viking program,
,Viking 1
,Viking 2
,
,
ASTEROIDAL/COMETARY,
Program,Sub-program (related to row above in column A)
Deep Impact (primary) – EPOXI (extended),
Deep Space 1 (DS1) – first spacecraft propelled by an Ion thruster,
Near Earth Asteroid Rendezvous - Shoemaker (NEAR Shoemaker) – close study of 433 Eros,
Stardust – follow-up for Deep Impact's primary mission to 9P/Tempel,
,
,
INTERPLANETARY,
Program,Sub-program (related to row above in column A)
Cassini–Huygens – Saturn and its moons,
"Dawn – Vesta in 2011-2012, and Ceres in 2015",
Galileo – Jupiter and its moons,
Magellan (Venus Radar Mapper),
- Mariner program – Venus,
,Mariner 1
,Mariner 2
,Mariner 5
,Mariner 10 – first to Mercury
MESSENGER – first to orbit Mercury,
- New Frontiers program,
,Juno Spacecraft Mission – Jupiter-bound for polar orbit in 2016[17]
,New Horizons – Pluto and its moons in 2015
 Pioneer program,
,Pioneer 5 – interplanetary space between Earth and Venus
,"Pioneer 6, 7, 8, and 9 – Solar wind, solar magnetic field and cosmic rays"
,Pioneer 10 – first to the asteroid belt and Jupiter
,"Pioneer 11 – asteroid belt and Jupiter, first to Saturn"
,Pioneer Venus project
- Voyager program,
,"Voyager 1 – Jupiter, Saturn"
,"Voyager 2 – Jupiter, Saturn, first to Uranus and Neptune"
,
,
SOLAR,
Program,Sub-program (related to row above in column A)
Genesis – returned sample of solar wind,
- Living With a Star,
,Solar Dynamics Observatory (SDO)
Solar and Heliospheric Observatory (SOHO) – ESA partnership,
Solar Maximum Mission (SolarMax),
- Solar Terrestrial Probes program,
,Solar TErrestrial RElations Observatory (STEREO)
Ulysses (spacecraft) – ESA partnership,
,
,
PLANNED MISSIONS,
Program,Sub-program (related to row above in column A)
 Living With a Star,
,"Balloon Array for RBSP Relativistic Electron Losses (BARREL) – two campaigns of 20 balloons each, studying the Van Allen radiation belts, 2012 to 2014[18]"
,"Solar Probe Plus – expected to be the first mission into the Sun's corona, slated to launch in 2018[19][20]"
- New Frontiers program,
,Origins Spectral Interpretation Resource Identification Security Regolith Explorer (OSIRIS-REx) – launch scheduled for 2016[21]
- Origins program,
,James Webb Space Telescope (JWST) – ESA partnership – launch scheduled for 2018[22][23]
- Solar Terrestrial Probes program,
,Magnetospheric Multiscale Mission (MMS) – Launch readiness date is October 2014[24]
,
,
CANCELED MISSIONS,
Program,Sub-program (related to row above in column A)
Comet Rendezvous Asteroid Flyby (CRAF),
Jupiter Icy Moons Orbiter (JIMO),
Mars Astrobiology Explorer-Cacher (MAX-C),
- Mars Scout program,
,Aerial Regional-scale Environmental Survey (ARES)
Mars Telecommunications Orbiter (MTO),
- Origins program,
,Space Interferometry Mission (SIM)
,Terrestrial Planet Finder (TPF)
Pluto Kuiper Express (PLUTOKE) – replaced by New Horizons,
