PHRASE: shuttle missions _nytCount: 18 _historyStories.size(): 27 _mentions: 28        _unique stories: 0
PHRASE: space technology _nytCount: 20 _historyStories.size(): 27 _mentions: 30        _unique stories: 3
PHRASE: space shuttles _nytCount: 67 _historyStories.size(): 27 _mentions: 27        _unique stories: 1
PHRASE: vandenberg air _nytCount: 7 _historyStories.size(): 26 _mentions: 26        _unique stories: 0
PHRASE: nasa engineers _nytCount: 33 _historyStories.size(): 26 _mentions: 28        _unique stories: 2
PHRASE: million miles _nytCount: 28 _historyStories.size(): 25 _mentions: 27        _unique stories: 5
PHRASE: state university _nytCount: 38 _historyStories.size(): 25 _mentions: 28        _unique stories: 3
PHRASE: aerospace industry _nytCount: 6 _historyStories.size(): 24 _mentions: 25        _unique stories: 3
PHRASE: shuttle crew _nytCount: 12 _historyStories.size(): 24 _mentions: 25        _unique stories: 0
PHRASE: space stations _nytCount: 25 _historyStories.size(): 24 _mentions: 24        _unique stories: 0
PHRASE: ozone layer _nytCount: 5 _historyStories.size(): 23 _mentions: 33        _unique stories: 2
PHRASE: john h _nytCount: 5 _historyStories.size(): 23 _mentions: 25        _unique stories: 0
PHRASE: project manager _nytCount: 5 _historyStories.size(): 23 _mentions: 25        _unique stories: 3
PHRASE: shuttle flights _nytCount: 39 _historyStories.size(): 23 _mentions: 23        _unique stories: 0
PHRASE: billion years _nytCount: 57 _historyStories.size(): 23 _mentions: 25        _unique stories: 3
PHRASE: research and development _nytCount: 8 _historyStories.size(): 22 _mentions: 22        _unique stories: 1
PHRASE: program manager _nytCount: 21 _historyStories.size(): 22 _mentions: 22        _unique stories: 1
PHRASE: mission to planet _nytCount: 2 _historyStories.size(): 21 _mentions: 24        _unique stories: 0
PHRASE: cargo craft _nytCount: 3 _historyStories.size(): 21 _mentions: 21        _unique stories: 0
PHRASE: planet earth _nytCount: 6 _historyStories.size(): 21 _mentions: 23        _unique stories: 0
PHRASE: nasa releases _nytCount: 13 _historyStories.size(): 21 _mentions: 21        _unique stories: 3
PHRASE: shuttle flight _nytCount: 16 _historyStories.size(): 21 _mentions: 22        _unique stories: 1
PHRASE: space agencies _nytCount: 7 _historyStories.size(): 20 _mentions: 22        _unique stories: 1
PHRASE: space programs _nytCount: 21 _historyStories.size(): 20 _mentions: 21        _unique stories: 2
PHRASE: research facility _nytCount: 2 _historyStories.size(): 19 _mentions: 19        _unique stories: 0
PHRASE: million contract _nytCount: 7 _historyStories.size(): 19 _mentions: 20        _unique stories: 1
PHRASE: ground controllers _nytCount: 9 _historyStories.size(): 19 _mentions: 23        _unique stories: 1
PHRASE: cost overruns _nytCount: 9 _historyStories.size(): 19 _mentions: 21        _unique stories: 1
PHRASE: gamma ray _nytCount: 16 _historyStories.size(): 19 _mentions: 26        _unique stories: 1
PHRASE: science institute _nytCount: 18 _historyStories.size(): 19 _mentions: 21        _unique stories: 0
PHRASE: russian cosmonaut _nytCount: 5 _historyStories.size(): 18 _mentions: 19        _unique stories: 0
PHRASE: research team _nytCount: 7 _historyStories.size(): 18 _mentions: 19        _unique stories: 4
PHRASE: cargo bay _nytCount: 8 _historyStories.size(): 18 _mentions: 18        _unique stories: 0
