on manned space :0.000007
of solar energy :0.000007
of lunar samples :0.000007
ny times sep :0.000007
nasas lewis research :0.000007
nasa flight research :0.000007
launched with single :0.000007
investigations description spheroid :0.000007
for peaceful purposes :0.000007
entered lunar orbit :0.000007
dr william h :0.000007
developed by nasa :0.000007
dept of commerce :0.000007
colleges and universities :0.000007
center announced award :0.000007
at lewis research :0.000007
at langley research :0.000007
and service modules :0.000007
aboard space shuttle :0.000007
a2e plesetsk total :0.000007
• msfc reported :0.000006
us weather bureau :0.000006
the external tank :0.000006
space development agency :0.000006
space center houston :0.000006
sen william proxmire :0.000006
s goldin announced :0.000006
richard f gordon :0.000006
republic of germany :0.000006
remain in orbit :0.000006
on space research :0.000006
national detudes spatiales :0.000006
national aerospace plane :0.000006
nasas associate administrator :0.000006
mars and venus :0.000006
management and budget :0.000006
james b irwin :0.000006
institute of space :0.000006
institute for space :0.000006
in space science :0.000006
gulf of mexico :0.000006
from b52 aircraft :0.000006
etr s s :0.000006
effects of space :0.000006
douglas astronautics co :0.000006
center for space :0.000006
by president nixon :0.000006
atlasagena d total :0.000006
at nasa manned :0.000006
and control data :0.000006
usa today feb :0.000006
to provide data :0.000006
the smithsonian institution :0.000006
the satellite reentered :0.000006
the cargo bay :0.000006
street journal reported :0.000006
performed satisfactorily nasa :0.000006
pacific missile range :0.000006
of north american :0.000006
nasa administrator sean :0.000006
johns hopkins university :0.000006
international designation vehicle :0.000006
in san francisco :0.000006
h white ii :0.000006
design and construction :0.000006
conducted by nasa :0.000006
committee on space :0.000006
carried gsfc payload :0.000006
at nasas goddard :0.000006
as associate administrator :0.000006
and space act :0.000006
and mcdonnell douglas :0.000006
and astronautical events :0.000006
a transfer orbit :0.000006
• nasa selected :0.000006
weight 700 kg :0.000006
w times jul :0.000006
uses of space :0.000006
upper atmosphere research :0.000006
total weight 700 :0.000006
thordelta launch vehicle :0.000006
the satellite situation :0.000006
the northern hemisphere :0.000006
the media reported :0.000006
the california institute :0.000006
the atomic energy :0.000006
the american geophysical :0.000006
successful by nasa :0.000006
soviet news agency :0.000006
request for proposals :0.000006
piloted by nasa :0.000006
period and 654° :0.000006
of air force :0.000006
news agency tass :0.000006
nasas langley research :0.000006
nasa from wallops :0.000006
m low nasa :0.000006
launched from vandenberg :0.000006
la times aug :0.000006
jupiter and saturn :0.000006
james a mcdivitt :0.000006
flight center gsfc :0.000006
edgar d mitchell :0.000006
earth resources survey :0.000006
died at age :0.000006
by goddard space :0.000006
apollo program director :0.000006
apogee perigee period :0.000006
and 654° inclination :0.000006
aerobee 170 sounding :0.000006
a communications satellite :0.000006
walk in space :0.000006
to kennedy space :0.000006
the van allen :0.000006
text • nasa :0.000006
surface of venus :0.000006
spacecraft in orbit :0.000006
sir bernard lovell :0.000006
see nasa office :0.000006
search for extraterrestrial :0.000006
rocket from wallops :0.000006
returning to earth :0.000006
president nixon announced :0.000006
nuclear propulsion office :0.000006
mississippi test facility :0.000006
launch of space :0.000006
in geosynchronous orbit :0.000006
ib launch vehicle :0.000006
global atmospheric research :0.000006
fred w haise :0.000006
engineers and technicians :0.000006
dept of transportation :0.000006
christopher c kraft :0.000006
cents per share :0.000006
apollo 8 astronaut :0.000006
and total weight :0.000006
amesdryden flight research :0.000006
ahead of schedule :0.000006
aerospace daily reported :0.000006
• washington post :0.000006
• faa announced :0.000006
• aerobee 150 :0.000006
weight 2000 kg :0.000006
w times nov :0.000006
vision for space :0.000006
univ of wisconsin :0.000006
un general assembly :0.000006
times the speed :0.000006
the marshall star :0.000006
the ames research :0.000006
submitted to senate :0.000006
subcommittee on science :0.000006
s s launched :0.000006
performance was satisfactory :0.000006
p inq jul :0.000006
office of technology :0.000006
of space sciences :0.000006
north american air :0.000006
nasa dly actv :0.000006
moon and mars :0.000006
million for construction :0.000006
meeting in washington :0.000006
in greenbelt maryland :0.000006
f gordon jr :0.000006
designed to measure :0.000006
dept of agriculture :0.000006
corp of america :0.000006
by nasa administrator :0.000006
at nasas ksc :0.000006
armed services committee :0.000006
apollo 11 astronaut :0.000006
and st mi :0.000006
and air force :0.000006
according to dr :0.000006
• apollo 11 :0.000006
washington times reported :0.000006
washington post editorial :0.000006
van allen belts :0.000006
us supersonic transport :0.000006
two unidentified satellites :0.000006
the space stations :0.000006
the near future :0.000006
the mars observer :0.000006
the magnetic field :0.000006
station in florida :0.000006
space transportation systems :0.000006
scientists at nasas :0.000006
science advisory committee :0.000006
rockets were launched :0.000006
p inq mar :0.000006
of scientific research :0.000006
ny times june :0.000006
nikecajun sounding rockets :0.000006
national space club :0.000006
nasa would provide :0.000006
mueller nasa associate :0.000006
missiles space co :0.000006
missile systems organization :0.000006
million for research :0.000006
marshall star reported :0.000006
lockheed missiles space :0.000006
lannan w star :0.000006
intercontinental ballistic missile :0.000006
in houston texas :0.000006
i communications satellite :0.000006
george w bush :0.000006
expendable launch vehicle :0.000006
expected to reach :0.000006
elliptical transfer orbit :0.000006
e mueller nasa :0.000006
design and build :0.000006
deputy assistant administrator :0.000006
delta launch vehicle :0.000006
civil aeronautics board :0.000006
charles m duke :0.000006
american air defense :0.000006
1 atsst trans :0.000006
• nikeapache sounding :0.000005
william a anders :0.000005
wallops flight facility :0.000005
ussr into orbit :0.000005
united press international :0.000005
tiros operational satellite :0.000005
times editorial commented :0.000005
three main engines :0.000005
the west coast :0.000005
the nations space :0.000005
the lunar landing :0.000005
the federal communications :0.000005
the asteroid belt :0.000005
strategic air command :0.000005
satellites space probes :0.000005
satellite reentered oct :0.000005
radio astronomy observatory :0.000005
probes and manned :0.000005
office of applications :0.000005
of carbon dioxide :0.000005
of atomic energy :0.000005
o paine nasa :0.000005
nasas johnson space :0.000005
nasa would launch :0.000005
motor was fired :0.000005
moon by apollo :0.000005
m duke jr :0.000005
low nasa deputy :0.000005
launched from baikonur :0.000005
landed at edwards :0.000005
james m beggs :0.000005
international business machines :0.000005
highly elliptical orbit :0.000005
harrison h schmitt :0.000005
guidance and control :0.000005
grumman aircraft engineering :0.000005
gross national product :0.000005
from baykonur cosmodrome :0.000005
etr total weight :0.000005
dr von braun :0.000005
data from nasas :0.000005
contract to design :0.000005
contract to build :0.000005
center in florida :0.000005
by dr james :0.000005
b sun feb :0.000005
automatic picture transmission :0.000005
at los angeles :0.000005
and west germany :0.000005
and edwin e :0.000005
and dod spacecraft :0.000005
an unidentified satellite :0.000005
all spacecraft systems :0.000005
air force launched :0.000005
• nasa aerobee :0.000005
w times dec :0.000005
w haise jr :0.000005
van allen radiation :0.000005
unavailable plesetsk total :0.000005
to measure electron :0.000005
the titan ii :0.000005
the nasa administrator :0.000005
the massachusetts institute :0.000005
space telescope science :0.000005
series of five :0.000005
scout total weight :0.000005
san diego union :0.000005
samuel c phillips :0.000005
robert a frosch :0.000005
registry the satellite :0.000005
quoted as saying :0.000005
of nasa manned :0.000005
of liquid hydrogen :0.000005
of goddard space :0.000005
of aerospace medicine :0.000005
ny times jun :0.000005
national designation vehicle :0.000005
nasa from churchill :0.000005
missile range nm :0.000005
military and civilian :0.000005
m scott carpenter :0.000005
lunar receiving laboratory :0.000005
lightyears from earth :0.000005
launched two unidentified :0.000005
launched from churchill :0.000005
joseph a walker :0.000005
john a manke :0.000005
jodrell bank experimental :0.000005
institutes of health :0.000005
in interplanetary space :0.000005
for design development :0.000005
failed to ignite :0.000005
department of energy :0.000005
commercial communications satellite :0.000005
center in houston :0.000005
by hughes aircraft :0.000005
bank experimental station :0.000005
b sun mar :0.000005
atmospheric administration noaa :0.000005
at nasa marshall :0.000005
areas sounding rocket :0.000005
apollo 11 mission :0.000005
an atlas centaur :0.000005
alfred m worden :0.000005
air force cambridge :0.000005
air force announced :0.000005
academy of engineering :0.000005
above the equator :0.000005
a joint venture :0.000005
170 sounding rocket :0.000005
would reimburse nasa :0.000005
w times oct :0.000005
university of arizona :0.000005
thomas k mattingly :0.000005
the space race :0.000005
the red planet :0.000005
the boeing co :0.000005
the baltimore sun :0.000005
tass news agency :0.000005
space systems division :0.000005
sounding rockets launched :0.000005
solid rocket booster :0.000005
purpose of flight :0.000005
programs to stations :0.000005
p inq apr :0.000005
orbiting the earth :0.000005
of apollo 13 :0.000005
national radio astronomy :0.000005
mcdonnell aircraft corp :0.000005
la times jul :0.000005
inter national designation :0.000005
high energy astronomy :0.000005
force cambridge research :0.000005
for nasas office :0.000005
flown by nasa :0.000005
external fuel tank :0.000005
european launcher development :0.000005
by north american :0.000005
biology and medicine :0.000005
announced the discovery :0.000005
and charles conrad :0.000005
aircraft engineering corp :0.000005
• msc announced :0.000005
