japan :244
europe :244
discovered :244
backup :244
application :244
frc :243
cal :243
assn :243
signal :242
scout :242
related :242
detailed :242
aero :242
overall :241
once :241
nasas :241
crews :241
useful :240
understanding :240
result :240
nikeapache :240
ib :240
diameter :240
via :239
sands :239
piloted :239
ionosphere :239
find :239
esa :239
edwards :239
advisory :239
worldâ€™s :238
revealed :238
demonstrated :238
damage :238
lines :237
know :237
civilian :237
central :237
action :237
associated :236
appointment :236
tional :235
sponsored :235
investigate :235
goal :235
quality :234
proposal :234
longer :234
delivery :234
cosmonaut :233
concluded :233
clouds :233
simulated :232
commented :232
90 :232
uses :231
procedures :231
paris :231
equipped :231
done :231
security :230
measured :230
en :230
csm :230
capacity :230
cameras :230
believe :230
sound :229
responsibility :229
live :229
39 :229
top :228
tex :228
minutes :228
36 :228
task :227
smithsonian :227
sion :227
pollution :227
instrumented :227
devices :227
clear :227
along :227
again :227
32 :227
ultraviolet :226
nimbus :226
nature :226
appropriations :226
ships :225
canaveral :225
â€œ :224
eastern :224
ahead :224
vi :223
proved :223
natural :223
lead :223
worldwide :222
salyut :222
photo :222
martin :222
discovery :222
ceremony :222
acting :222
ny :221
itself :221
astronomers :221
34 :221
version :219
tiros :219
representatives :219
mar :219
bureau :219
65 :219
37 :219
studying :218
ranger :218
perform :218
medicine :218
essa :218
components :218
china :218
astronomical :218
aid :218
show :217
line :217
extension :217
crater :217
centaur :217
remained :216
loss :216
school :215
remain :215
never :215
extended :215
companies :215
share :214
served :214
rays :214
optical :214
hearings :214
australia :214
alaska :214
across :214
1979 :214
â€œa :213
step :213
statement :213
outside :213
donald :213
synchronous :212
fully :212
astro :212
spending :211
specific :211
seen :211
panel :211
martian :211
instead :211
concorde :211
check :211
black :211
achieve :211
usussr :210
summer :210
pay :210
parameters :210
maneuver :210
lease :210
investigation :210
dryden :210
education :209
capt :209
agena :209
question :208
processing :208
night :208
museum :208
list :208
attitude :208
achievement :208
400 :208
procurement :207
monitoring :207
48 :207
scott :206
satel :206
leading :206
contained :206
transmit :205
money :205
led :205
ice :205
feasibility :205
fcc :205
directly :205
descent :205
advance :205
went :204
thermal :204
replace :204
principal :204
headed :204
fla :204
came :204
sensors :203
paul :203
modification :203
law :203
detected :203
contractors :203
certain :203
1000 :203
visit :202
pres :202
noaa :202
mis :202
start :201
red :201
moved :201
methods :201
∞dr :200
thus :200
installed :200
equator :200
conrad :200
balt :200
apparently :200
sample :199
clark :199
case :199
ballistic :199
33 :199
run :198
paine :198
having :198
elements :198
directed :198
created :198
comet :198
active :198
55 :198
russian :197
portion :197
observation :197
inter :197
increasing :197
burn :197
benefits :197
weeks :196
utilization :196
sonic :196
package :196
limited :196
findings :196
commerce :196
color :196
units :195
together :195
possibility :195
opened :195
joined :195
models :194
icbm :194
briefing :194
angeles :194
prof :193
parts :193
gordon :193
delivered :193
armstrong :193
apollosoyuz :193
thought :192
soviets :192
recovered :192
formation :192
establishment :192
ats :192
plesetsk :191
nas :191
industries :191
him :191
ussrâ€™s :190
type :190
takeoff :190
resolution :190
releases :190
pre :190
others :190
la :190
ion :190
flow :190
carbon :190
66 :190
testimony :189
quoted :189
her :189
firms :189
containing :189
van :188
technique :188
passengers :188
followed :188
ejected :188
detect :188
allen :188
weightlessness :187
velocity :187
reliability :187
experience :187
deployed :187
community :187
sullivan :185
right :185
remaining :185
mrs :185
mit :185
individual :185
churchill :185
belt :185
voyager :184
pointed :184
pio :184
minister :184
levels :184
introduced :184
growth :184
eugene :184
sys :183
symposium :183
structural :183
stand :183
preparation :183
nationâ€™s :183
magazine :183
fifth :183
explosion :183
demonstration :183
demonstrate :183
1958 :183
voice :182
london :182
company :182
tour :181
stability :181
receiving :181
heart :181
congressional :181
astronautical :181
assigned :181
250 :181
travel :180
inside :180
composition :180
alan :180
patent :179
month :179
matter :179
interior :179
forward :179
except :179
craters :179
conventional :179
college :179
â€œin :178
studied :178
negotiations :178
maintain :178
indian :178
chicago :178
worked :177
whose :177
von :177
keep :177
journal :177
emergency :177
cargo :177
saying :176
rca :176
photographed :176
heating :176
etr :176
allow :176
1960 :176
spokesman :175
picture :175
pad :175
official :175
hughes :175
film :175
wsmr :174
russians :174
port :174
periods :174
contributions :174
armed :174
42 :174
standard :173
republic :173
race :173
measuring :173
glenn :173
employment :173
bomber :173
41 :173
twice :172
dis :172
workers :171
plasma :171
originally :171
geological :171
dot :171
strong :170
st :170
ret :170
regions :170
lander :170
im :170
