over the ,2,13,15,38,59,19,30,5,12,4,9,8,31,40,48,71
was launched ,5,15,28,57,46,43,56,20,38,41,53,33,43,27,9,5
by a ,6,14,29,45,68,25,29,14,9,6,17,6,50,47,46,53
in orbit ,9,30,40,36,48,36,32,36,32,8,24,29,19,13,23,30
the united ,8,30,53,47,72,35,16,36,42,27,23,26,20,29,10,11
associate administrator ,5,10,23,48,42,23,39,23,31,32,32,26,28,41,25,20
the apollo ,0,3,15,39,61,22,57,16,21,19,15,31,57,18,61,33
united states ,12,44,46,52,71,35,19,35,38,26,20,32,16,19,9,14
to measure ,1,20,39,56,45,35,39,28,30,24,18,39,24,13,26,21
lunar surface ,0,12,9,33,38,55,46,22,90,53,59,52,9,3,6,5
data on ,8,15,21,40,30,29,52,33,49,33,22,27,29,19,16,26
we have ,0,21,66,69,63,35,27,33,53,26,33,36,16,4,1,0
he had ,1,8,13,17,22,19,25,31,48,28,35,35,50,30,19,22
into the ,3,11,31,42,63,21,23,8,14,20,9,14,40,23,37,41
secretary of ,3,13,19,34,31,24,31,26,61,69,35,41,45,17,8,14
of apollo ,0,2,9,10,11,14,23,46,115,70,59,87,15,4,4,2
did not ,4,14,25,47,51,36,48,28,39,39,33,13,19,12,15,38
reported that ,5,30,19,55,35,19,16,6,1,8,6,12,10,16,43,14
dept of ,0,1,17,22,18,22,12,16,18,18,28,118,50,52,29,21
york times ,0,4,6,16,37,40,45,27,44,55,58,57,43,7,15,23
that would ,1,7,12,22,53,33,20,3,16,21,17,32,20,16,37,77
as well ,7,24,32,57,37,10,17,18,22,18,23,14,18,20,35,58
in washington ,4,16,45,45,34,24,25,31,50,55,39,38,21,14,8,15
and had ,1,6,10,11,29,22,13,17,40,40,36,48,38,17,16,33
the sun ,3,13,16,38,74,19,29,3,4,3,5,3,78,45,34,43
announced it ,1,10,24,26,23,7,5,18,34,29,15,14,16,3,2,13
and was ,6,7,17,31,39,20,28,28,32,38,51,40,34,18,9,24
us and ,0,13,18,28,16,24,33,22,25,30,44,59,21,34,31,21
the satellite ,2,13,48,62,44,9,12,3,3,4,4,5,70,48,45,25
said the ,1,23,16,66,80,28,15,0,0,1,0,0,44,20,19,66
gsfc ssr ,0,0,0,2,4,4,44,63,68,76,65,58,61,7,1,1
to have ,4,28,48,49,44,26,28,22,21,23,28,28,35,21,15,12
has been ,3,26,62,78,63,23,26,27,31,28,22,36,10,4,5,2
well as ,7,24,29,55,31,8,16,17,19,15,20,13,16,20,35,58
we are ,5,40,82,68,58,21,23,20,33,16,27,27,17,1,3,1
nasa had ,1,2,15,19,39,36,26,18,18,19,16,28,19,24,24,14
number of ,1,8,25,38,48,19,28,25,34,25,35,23,22,25,14,29
academy of ,12,14,38,39,36,21,16,11,17,23,31,58,36,37,18,10
saturn v ,0,0,14,39,58,51,51,69,67,37,13,25,6,2,6,4
space and ,1,15,32,39,33,24,19,32,27,32,16,41,27,18,19,17
said in ,3,4,53,77,37,24,10,6,33,46,45,37,24,15,16,5
the same ,1,21,31,36,77,15,25,6,13,8,11,8,31,19,32,42
the world ,2,17,41,45,56,28,22,14,32,20,16,16,22,11,16,26
to develop ,1,15,35,28,34,28,25,15,17,30,27,46,30,23,30,13
nasa rpt ,0,0,17,67,32,79,61,76,49,14,15,14,11,0,0,0
designed to ,1,22,33,60,48,34,44,22,14,11,20,12,14,10,16,26
of this ,4,22,53,59,65,32,22,19,22,27,18,21,9,7,13,11
to obtain ,1,13,14,39,43,35,46,33,48,31,41,26,14,10,7,15
rocket and ,1,2,4,11,9,27,44,55,61,50,45,55,53,5,1,2
end of ,3,8,19,21,37,23,24,21,29,29,23,36,29,21,21,29
of an ,6,16,33,28,54,34,33,4,5,6,5,5,37,30,36,29
