18 days,16,0,0,0,0,0,1,0,0,1,3,1,3,1,0,0,2,1,2,0,0,0,0,0,0
13 astronauts,16,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 hrs,16,0,0,0,2,3,2,0,0,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
three men,15,0,0,1,2,1,0,1,1,0,4,1,0,1,1,0,1,0,0,1,0,0,0,0,0
three companies,15,0,1,2,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,0,0,1,1
four satellites,15,0,0,1,0,4,0,1,0,1,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0
50 states,15,0,0,0,0,3,0,0,0,1,2,1,2,0,0,0,1,0,1,0,1,1,0,2,0
45 days,15,0,0,3,1,2,3,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
250 lbs,15,0,0,0,0,1,1,0,1,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
15 yrs,15,0,0,0,0,1,0,1,0,4,1,0,4,3,0,1,0,0,0,0,0,0,0,0,0
10 minutes,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,2,1
three experiments,14,0,0,0,2,2,0,0,0,0,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0
84 days,14,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,2,1,0,0,0,2,0,0
20 experiments,14,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0
18 months,14,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
15 days,14,0,0,0,1,3,0,1,0,2,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0
14 astronauts,14,0,0,1,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0
11 days,14,0,0,0,2,2,0,0,1,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0
000 yrs,14,0,0,0,0,4,0,1,0,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0
two firms,13,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1
two contracts,13,0,0,0,1,1,0,0,0,1,0,0,1,1,2,4,1,0,0,0,0,0,0,0,1
8 lbs,13,0,0,1,0,3,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
6 hrs,13,0,1,0,1,2,1,0,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
45 minutes,13,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3
30 years,13,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 days,13,0,1,0,0,0,1,1,0,1,2,0,0,0,0,1,4,1,1,0,0,0,0,0,0
13 experiments,13,0,1,0,0,0,0,1,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
1000 times,13,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,2,4,1,0,0,0,0,0,0
two nations,12,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,2,0,1,0,0,0,0
two missions,12,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,1
